,title,text,subject,date,label,has_mentions
0,factbox big ticket item center congress spending bill,reuters u s congress thursday approved temporary funding bill prevent federal agency shutting midnight friday existing money set expire following major item debated legislation president donald trump expected sign law friday midnight deadline action result republican controlled congress failing pas regular appropriation bill fiscal year began oct instead government operating series temporary measure newest stopgap bill continues funding government operation jan giving lawmaker several week work spending bill would pay agency activity sept end current fiscal year house representative conservative failed bid attach major defense spending increase would fund pentagon september instead congress agreed fund military jan like program move attract support billion increase included used missile defense ship repair democrat republican continue negotiation higher funding military non military program billion disaster aid bill going attached government funding bill instead house approved stand alone bill see senate put action least next month would build billion already provided puerto rico u s virgin island several state hit severe hurricane wildfire natural disaster democrat want puerto rico republican worry mounting cost disaster aid child s health insurance program help provide medical care nearly million child low income family get billion cover expense march lawmaker seek permanent solution senator put early next year bid maintain healthcare subsidy low income people participating affordable care act also known obamacare many house republican lawmaker dislike idea national security agency s warrantless internet surveillance program foreign intelligence surveillance act extended jan lawmaker try reconcile competing version legislation house senate legislation protect dreamer deportation included despite democrat push resolve issue year s end major disappointment congressional hispanic caucus immigration advocacy group negotiator still trying reach deal helping immigrant many mexico central america brought united state illegally child issue expected come back life early,politicsNews,"December 21, 2017 ",real,False
1,fbi deputy director sit closed interview house panel,washington reuters fbi s deputy director andrew mccabe appear closed door interview thursday two key u s congressional committee republican asked discus bureau s handling hillary clinton email probe justice department confirmed letter wednesday chairman house representative judiciary oversight committee mccabe sit transcribed interview said mccabe permitted discus anything related special counsel robert mueller s investigation russian meddling presidential election said interview must conducted classified setting transcript publicly released federal bureau investigation part justice department republican led house judiciary oversight committee announced october launching fresh probe number long standing political grievance including concern fbi s handling investigation clinton s use private email server secretary state republican said want get bottom former fbi director james comey fired president donald trump publicly discussed clinton investigation announced bureau would seek bring charge comey also publicly revealed day presidential election reopening matter fbi discovered new batch clinton email case closed shortly email reviewed new information uncovered critic say republican focus clinton merely tactic distract mueller s investigation whether member trump s campaign colluded russia since new clinton probe announced republican also turned pressure mueller attacked fbi s integrity anti trump text message surfaced two fbi employee worked mueller s team one employee agent peter strzok reassigned text discovered other fbi lawyer lisa page completed temporary day detail assignment mueller mid july republican also asked justice department make page work fbi s general counsel s office available interview trump openly attacked fbi saying reputation tatter russia denied meddling election trump said collusion,politicsNews,"December 20, 2017 ",real,False
2,what s final republican tax bill,reuters u s house representative gave final approval wednesday sweeping debt financed tax bill midday vote go president donald trump sign law although timing unclear senate approved bill early wednesday key part bill representing biggest overhaul u s tax code year corporate tax rate cut corporate income tax rate permanently percent percent jan pas throughs creates percent deduction first qualified business income joint filer pas through business partnership sole proprietorship income threshold legislation phase limit producing effective marginal tax rate percent corporate alternative minimum tax repeal percent corporate alternative minimum tax set ensure profitable corporation pay least tax territorial system exempts u s corporation u s tax future foreign profit ending present worldwide system taxing profit u s based corporation matter earned would align u s tax code industrialized nation undercut many offshore tax dodging strategy deliver multinationals goal pursued year repatriation set one time mandatory tax percent illiquid asset percent cash cash equivalent trillion u s business profit held overseas foreign cash pile created rule making foreign profit tax deferred brought united state repatriated rule would rendered obsolete territorial system anti base erosion measure prevents company shifting profit united state lower tax jurisdiction abroad set alternative minimum tax payment u s corporation foreign affiliate limit shifting corporate income transfer intangible property including patent combination measure repatriation territorial system provision represent dramatic overhaul u s tax system multinationals capital expensing allows business immediately write off expense full value investment new plant equipment five year gradually eliminates percent expensing five year beginning year six also make change permit expensing small business interest deduction limit cap business deduction debt interest payment percent taxable income regardless deduction depreciation amortization depletion clean energy preserve tax credit producing electricity wind biomass geothermal solar municipal waste hydropower carried interest leaf place carried interest loophole private equity fund manager hedge fund manager despite pledge republican including president donald trump close it financier claim lower capital gain tax rate much income investment held year new rule would extend holding period three year putting loophole reach fund manager preserving availability many bracket maintains current seven tax bracket temporarily change income level rate one married couple filing jointly effective jan ending income tax would be percent versus percent existing law percent versus percent on percent versus percent percent versus percent percent versus percent percent versus percent percent versus percent above single individual effective jan ending income tax would be percent versus percent existing law percent versus percent percent versus percent percent versus percent percent versus percent percent versus percent percent versus percent bracket would expire standard deduction change expected end itemizing deduction million american bill eight year beginning jan would increase standard deduction fixed amount subtracted adjusted gross income lower taxable income individual married couple child tax credit double child tax credit per dependent child age refundable portion refundable portion allows family lower tax bill zero receive refund remaining value personal exemption temporarily eliminates individual personal exemption present law taxpayer earn certain income cap subtract fixed dollar amount adjusted gross income lower taxable income generally one exemption allowed per individual spouse child dependent would take effect jan personal exemption would return individual alternative minimum tax leaf amt place temporarily change raising exemption phase out mean fewer people pay tax still take smaller hit it inheritance raise exemption estate gift tax million million per person index new exemption level inflation mean even fewer american would pay estate tax would stay book mortgage residence bought jan dec bill cap deduction mortgage interest home loan value dec cap would revert million loan value suspends deduction interest home equity loan jan medical expense temporarily expands deductibility out of pocket medical expense obamacare mandate repeal federal fine imposed american obamacare obtaining health insurance coverage change expected undermine healthcare law anwr drilling allows oil drilling alaska s arctic national wildlife refuge,politicsNews,"December 19, 2017 ",real,False
3,trump sign tax government spending bill law,washington reuters u s president donald trump signed republican massive trillion tax overhaul law friday cementing biggest legislative victory first year office also approved short term spending bill averts possible government shutdown trump said wanted sign tax bill leaving washington friday mar a lago estate florida rather stage formal ceremony january could keep promise finish work christmas i didn t want folk say wasn t keeping promise i m keeping promise told reporter white house two piece legislation represent trump s significant accomplishment congress since taking office january well sign awaits return florida christmas holiday tax package largest overhaul since s slash corporate rate percent percent temporarily reduces tax burden individual well trump praised several company announced employee bonus wake bill s passage naming at t boeing well fargo comcast sinclair broadcast group corporation literally going wild this said democrat opposed bill giveaway wealthy would add trillion trillion national debt next decade spending bill extends federal funding jan largely current level nothing resolve broader dispute immigration healthcare military spending republican also divided whether follow sweeping overhaul u s tax code dramatic restructuring federal benefit program house speaker paul ryan said would like revamp welfare health program senate republican leader mitch mcconnell told national public radio monday interested cutting program without democratic support trump s year also close significant turnover many top staffer white house since early term friday white house confirmed deputy chief staff rick dearborn jeremy katz worked white house economic adviser gary cohn leaving,politicsNews,"December 22, 2017 ",real,False
4,house panel asks trump ex top aide bannon testify bloomberg,washington reuters steve bannon former top white house strategist former chief campaign aide donald trump asked testify u s house representative intelligence panel next month bloomberg news reported corey lewandowski trump s former campaign manager also asked testify early january bloomberg reported friday citing official familiar committee s schedule representative committee immediately respond inquiry comment panel probing alleged russian meddling u s election,politicsNews,"December 22, 2017 ",real,False
5,u s court reject trump bid stop transgender military recruit jan,new york reuters federal appeal court virginia thursday rejected bid president donald trump s administration prevent u s military accepting transgender recruit starting jan administration urged appeal court suspend order federal judge baltimore armed force begin accepting transgender recruit date administration said jan start date causing armed force scramble revise policy risk harming military readiness brief two paragraph order three judge panel richmond based th u s circuit court appeal said denying administration s request appeal proceeds three judge democratic appointee court s action could prompt administration ask conservative majority u s supreme court intervene we disagree court s ruling currently evaluating next step u s justice department spokeswoman lauren ehrsam said statement several transgender service member backed american civil liberty union filed suit maryland trump said july would ban transgender people military move would reverse policy republican president s democratic predecessor barack obama accept them trump cited concern military focus medical cost far three federal judge around country issued injunction blocking trump s ban administration appealed three ruling joshua block aclu attorney represents plaintiff maryland case said happy appeal court saw government s smokescreen delay enlistment thursday s action response administration s appeal nov ruling u s district judge marvin garbis said transgender prohibition likely violates plaintiff constitutional right equal protection law garbis ruling followed similar one oct another federal judge washington d c third judge seattle also ruled administration dec august memorandum trump gave military march revert policy prohibiting openly transgender people joining military authorizing discharge memo also halted use government fund sex reassignment surgery active duty military personnel obama administration set deadline july year begin accepting transgender recruit trump s defense secretary james mattis postponed date jan president s ban put indefinitely trump administration said legal paper armed force prepared train thousand personnel medical standard needed process transgender applicant might accept some individual medically fit service pentagon dec issued guideline recruitment personnel order enlist transgender applicant jan memo outlined medical requirement specified applicant sex would identified even undergarment would wear ban s challenger said memo contradicted claim military ready justice department disagreed telling court wednesday all memorandum show military scrambling comply injunction lawsuit s lead plaintiff brock stone served u s navy year including nine month deployment afghanistan want remain least year according court paper,politicsNews,"December 21, 2017 ",real,False
6,alabama official certify senator elect jones today despite challenge cnn,washington reuters alabama secretary state john merrill said certify democratic senator elect doug jones winner thursday despite opponent roy moore s challenge phone call cnn moore conservative faced allegation groping teenage girl s filed court challenge late wednesday outcome u s senate election unexpectedly lost,politicsNews,"December 28, 2017 ",real,False
7,democrat give trump big f ck attack insane twitter rant,donald trump twitter feed always goldmine crazy unfortunately since orange overlord squatting oval office nutty tweet tend ability derail important policy initiative therefore disastrous effect nation sometimes world case point fact insisted upon attacking democratic leader meeting regarding debt ceiling child health insurance program deferred action childhood arrival daca important domestic policy initiative apparently trump saw fit take twitter accuse old pal chuck nancy strong enough crime immigration therefore see way make deal them meeting chuck nancy today keeping government open working problem want illegal immigrant flooding country unchecked weak crime want substantially raise tax see deal donald j trump realdonaldtrump november given out of the blue attack democratic minority leader nancy pelosi d ca chuck schumer d ny released joint statement promptly pulling meeting read given president see deal democrat white house believe best path forward continue negotiating republican counterpart congress instead leader pelosi took twitter take trump on given president see deal democrat white house believe best path forward continue negotiating republican counterpart congress instead nancy pelosi nancypelosi november rather going white house show meeting result agreement asked senatemajldr speakerryan meet afternoon read full statement w senschumer here nancy pelosi nancypelosi november it likely best democrat go meet trump anyway clearly becoming unhinged day absolutely reason attack leader set time meet good faith again led crazy man much sense anything anymore look government shutdown folk coming watch video situation below featured image via zach gibson pool getty image,News,"November 28, 2017",fake,False
8,sean hannity get wrecked yelling time magazine calling trump s lie,fox news host sean hannity twitter meltdown time called donald trump claiming magazine called regarding person year award declined offer time magazine corrected trump tweet writing president incorrect choose person year time comment choice publication december magazine calling trump much bear trump cult member sean hannity called bullshit hour time denied former reality show star bizarre claim call total bullshit time answer question call wh say realdonaldtrump potus considered person year ask interview hannity tweeted friday i call total bullshit time answer question call wh say realdonaldtrump potus considered person year ask interview sean hannity seanhannity november and again so time worse fake news cnn coming ice age big cool ha sean hannity seanhannity november sean really want magazine attention waiting sean hannity seanhannity november twitter user course calling liddle sean you questioning time questioning man hung fake time cover resort sad caught lie yet sean mr smh maralagofuckyou november pic twitter com ujtvsakgof fork whattheforkllc november only finest make time potus michelleobama pic twitter com fglxrzgwo nat n a t november lmao let look logically time magazine business year never gone bankrupt respected institution realdonaldtrump gone bankrupt time caught score lie including fake time cover mounted golf club wall pic twitter com ywzrarh annalise brown swflib november donnie stand idea obama time man year first year presidency know never half man president barackobama wa eating inside pic twitter com romxcocc annalise brown swflib november a woman note trump always obsessed time magazine honey get man warm milk one also pic twitter com lmvlwglx kastherine mercedes s november find comfy chair drink warm milk wait voice stop charles p pierce charlesppierce november with trump history man literally hang photoshopped time magazine cover featuring big stupid face wall least golf course pretty time magazine lying photo rob kim getty image,News,"November 25, 2017",fake,False
9,trump everything heard say access hollywood tape never happened,former reality show star donald trump repeatedly refused held responsible word come mouth even tape example infamous access hollywood tape suggests powerful grab woman p ssies trump defended sexual harasser fox news host yeah know redundant bill reilly recent past even recently defended alleged pedophile alabama senate candidate roy moore so defending pervert another day donald trump here quick reminder trump said p ssy grabbing tape know automatically attracted beautiful woman start kissing them like magnet kiss even wait star let it anything grab pussy anything new york time report even trump made almost apology tape revealed still told senator adviser access hollywood tape may authentic but something deeper consuming mr trump see call mr moore step aside version response now famous access hollywood tape boasted grabbing woman genitalia flood groping accusation followed soon after suggested senator earlier year authentic repeated claim adviser recently so reiterate trump told adviser recently video tape talking perving woman fake news also told senator released we see pattern here maybe trump cult like following believe crap rest u remember tape well tape indicating factor donald j trump unfit office morally intellectually photo chip somodevilla getty image,News,"November 25, 2017",fake,False
10,vote senate dreamer hinge bipartisan pact mcconnell,washington reuters u s senate majority leader mitch mcconnell wednesday said would bring dreamer immigration bill senate floor bipartisan negotiation senator trump administration produce agreement end january mcconnell also said statement would offer measure free standing vote without specifying would occur many supporter immigration initiative argued would best prospect passage coupled must pas bill spending measure early next year potentially increase military spending immigration measure would designed protect undocumented immigrant brought united state child democrat congress pressing passage well early march obama era program due completely phased trump administration earlier wednesday republican u s senator jeff flake said statement mcconnell promised bring bill full senate next month flake one group seven democratic republican senator negotiating bill former president barack obama s deferred action childhood arrival order temporarily protected around dreamer deportation president donald trump announced september terminating program asked congress devise permanent solution march san francisco federal judge wednesday wrestled whether order government keep daca place lawsuit challenging trump s decision unfold hearing u s district judge william alsup questioned whether authority review decision end daca also said administration s justification move brief conclusory alsup rule bench one plaintiff daca recipient dulce garcia attended hearing said sixth day hunger strike intended urge lawmaker make protection daca recipient condition passage federal spending bill democratic senator dick durbin said statement bipartisan negotiation continue we re fighting pas measure soon provide detail progress made talk bipartisan group senator led durbin republican lindsey graham holding private negotiation many dreamer would covered legislation giving temporary legal status whether would ultimately allowed apply u s citizenship negotiation complicated republican demand increased border security included legislation republican also clamoring immigration enforcement throughout united state democrat opposed part dreamer measure saying way trump administration step deportation undocumented relative dreamer thus breaking family currently united state,politicsNews,"December 20, 2017 ",real,False
11,green group sue trump administration delay methane rule,washington reuters coalition nearly environmental native american tribal group sued trump administration tuesday challenging delay rule limiting emission powerful greenhouse gas methane oil gas drilling operation federal land earlier month bureau land management part department interior suspended implementation rule year jan saying wanted avoid compliance cost energy company revise regulation delay is yet another action taken trump administration benefit oil gas industry expense american public particularly million westerner use public land ranching hunting hiking purpose darin schroeder lawyer clean air task force said statement organization represented national wildlife federation one group filed lawsuit interior secretary ryan zinke department energy company say rule finalized end obama administration could cost ten thousand dollar per well trump administration expected announce new draft rule coming week line policy maximizing output oil gas coal dismantling regulation say prevent job growth rule target accidental leak intentional venting methane drilling operation public land percent country s natural gas percent oil produced last fiscal year provision already phased in majority yet go effect lawsuit also filed sierra club environmental defense council din citizen ruining environment navajo group seek stop delay force interior department implement rule january filed u s district court northern district california san francisco interior department immediately respond request comment lawsuit,politicsNews,"December 19, 2017 ",real,False
